Industry Vertical,Sub Vertical,City  Location,Investors Name,Investment Type,Amount in USD
Consumer Internet,Parenting Network Platform,Bangalore,Flipkart Logistics Pvt. Ltd,Private Equity,"15,80,000"
Consumer Internet,Community Platform for Artists and Designers,Mumbai,Pratik Seal,Seed Funding,
eCommerce,Mens Grooming products etailer,Ahmedabad,Venture Catalysts,Seed Funding,"5,00,000"
Consumer Internet,Out-Station Taxi Rental Platform,Indore,Swastika Co Ltd.,Seed Funding,"10,00,000"
Consumer Internet,Virtual Health Clinic for Women,Hyderabad,Endiya Partners,Seed Funding,"10,00,000"
Technology,Cloud Based Data Protection Solution,Pune,"Sequoia India, EDBI, Blue Cloud Ventures, Hercules Capital",Private Equity,"5,10,00,000"
eCommerce,Local Commerce Platform,New Delhi,Now Capital,Seed Funding,"1,80,000"
eCommerce,Education eCommerce platform,Noida,"Kanwaljit Singh, Ajay Lakhotia, Pavan Ongole, Ashish Gupta",Seed Funding,
Consumer Internet,Bitcoin Wallet,Bangalore,"Blume Ventures, Mumbai Angels, ah! Ventures, Digital Currency Group, Boost VC, Bank to the Future and Funders Club",Private Equity,"15,00,000"
Consumer Internet,Vehicle maintenance Services platform,Pune,Deepak Nathani,Seed Funding,
Technology,Enterprise Cloud Solutions,Mumbai,Bhavin Turakhia,Private Equity,"1,90,00,000"
Consumer Internet,Social Networking Platform for Writers,Jaipur,Rajasthan Angel Innovators Network,Seed Funding,
eCommerce,Online Pharmacy & Health Marketplace,Gurgaon,"Sequoia Capital India, Omidyar Network, Kae Capital",Private Equity,"1,20,00,000"
Consumer Internet,Doctor & Clinic\\xc2\\xa0 Discovery Platform,Bangalore,"Mudit Saxena, Evan Lim",Seed Funding,"2,00,000"
Consumer Internet,Gadget Repair Services Platform,Pune,Undisclosed HNIs,Seed Funding,"2,75,000"
eCommerce,Online Women\\xe2\\x80\\x99s Fashion Marketplace,Bangalore,InnoVen Capital,Private Equity,"30,00,000"
Consumer Internet,Hyperlocal Grocery Delivery platform,Pune,Syska LED group,Private Equity,"25,00,000"
Consumer Internet,Online Job and Career Platform for Women,Noida,"Lumis Partners, The HR Fund, Rajul Garg, Quintillion Media",Private Equity,"18,00,000"
Consumer Internet,Hyperlocal daily needs Products delivery platform,Bangalore,"Venk Krishnan, Aprameya Radhakrishna, Anupam Mittal, Kunal Shah, Tracxn Labs, Subramanya SV, Ravi Garkipati",Seed Funding,
Food & Beverage,Retail Food & Snack Offline centres,Mumbai,"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",Seed Funding,"10,00,000"
Healthcare,Personal Genomics,Chennai,RoundGlass Partners,Private Equity,
Consumer Internet,Waste Recycle Management platform,Gurgaon,Brand Capital,Seed Funding,"2,25,000"
Consumer Internet,Mobile Based Bollywood Discovery platform,Mumbai,Paul Roy,Seed Funding,"8,90,000"
Consumer Internet,Food Delivery Platform,Bangalore,Existing Investors,Seed Funding,"5,00,000"
Others,Sports Arena discovery,New Delhi,Anglian Omega Network,Seed Funding,
Healthcare,Healthcare Analytics Platform,Bangalore,"Inventus Capital Partners, Blume Ventures & Others",Private Equity,
Technology,Travel Ticket Booking Software,Kerala,Promatus Group,Seed Funding,"27,000"
Technology,Ad optimization Platform,New Delhi,"Geniee, Inc, Purvi Capital",Private Equity,
Others,Indoor Skydiving Sports Provider,Mumbai,Swastika Company Ltd.,Seed Funding,"40,000"
eCommerce,"Original Art, Digital Prints etailer",Gurgaon,Undisclosed Investors,Seed Funding,"4,45,000"
Consumer Internet,Community services platform,Mumbai,1Crowd (through crowd funding),Seed Funding,"2,00,000"
Healthcare,Dental Protection Solution,Bangalore,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,
Technology,Healthcare related IoT platform,New Delhi,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,
Consumer Internet,Photo Sharing Mobile App,Bangalore,"Anupam Mittal, Sharad Sharma & 14 others",Seed Funding,"5,00,000"
eCommerce,Men\\xe2\\x80\\x99s Grooming Product etailer,New Delhi,"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others",Seed Funding,"6,00,000"
Consumer Internet,Online ticket booking platform,Bangalore,"Gujarat Venture Finance Limited (GVFL), Bennett Coleman & Co. Ltd",Private Equity,"70,00,000"
Consumer Internet,Co-Working Spaces Discovery & Booking platform,Mumbai,"Khattar Holdings, ThirtyThree Investments, Soumitra Sharma, Deepak Sharma, Sumit Dayal and others",Private Equity,
Consumer Internet,Online Tutoring Service provider,Mumbai,1Crowd (through crowdfunding),Seed Funding,"2,09,000"
Technology,Cloud Based Software Solutions Provider,Hyderabad,"Norwest Venture Partners, Accel India",Private Equity,"1,50,00,000"
Technology,Agri-Tech supply chain Solution provider,Gurgaon,"Mukul Singhal, Rohit Jain, Himanshu Aggrawal, Sunil Goyal Ashish Gupta,",Private Equity,"15,00,000"
Consumer Internet,peer-to-peer lending platform,Gurgaon,Brand Capital,Private Equity,"15,00,000"
Technology,Integrated Enterprise Analytics Platform,Noida,Westbridge Capital Partners,Private Equity,"1,56,00,000"
Technology,Data Analytics & Audience Management Platform,Gurgaon,Undisclosed Investors,Seed Funding,"5,00,000"
Consumer Internet,B2C vernacular podcast aggregator platform,New Delhi,"HT Media Ltd, North Base Media",Seed Funding,
ECommerce,Women Intimate Wear eTailer,Bangalore,"Anand Chandrasekaran, Kanwaljit Singh, Manoj Varghese",Seed Funding,
ECommerce,Raw Meat Products eTailer,Gurgaon,Ashvin Chadha,Seed Funding,
Consumer Internet,Budget Hotels Aggregator,New Delhi,SoftBank Group,Private Equity,"6,20,00,000"
Consumer Internet,Mobile Messaging App,New Delhi,"Tencent Holdings, Foxconn Technology Group, Tiger Global, SoftBank Group, Bharti Enterprises",Private Equity,"17,50,00,000"
eCommerce,Online Jewellery Store,Mumbai,"Powerhouse Ventures, M&S Partners",Private Equity,"5,00,000"
eCommerce,"Sweets, Dry Fruits & Handicrafts etailer",Ahmedabad,Brand Capital,Private Equity,"15,00,000"
Technology,Online & Mobile learning for kids,Pune,"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",Seed Funding,"2,50,000"
Consumer Internet,Career progression Portal,Mumbai,Undisclosed Dubai based HNIs,Seed Funding,
Logistics,Online Logistics Marketplace,Indore,"Swan Angel Network,Sachin Khandelwal and others",Seed Funding,"3,75,000"
Technology,Mobile Chatbot App,Bangalore,Swan Angel Network,Seed Funding,
Technology,Mobile security solutions,Bangalore,"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",Private Equity,"6,75,000"
Logistics,Packers & Movers,Bangalore,Indian Angel Network,Seed Funding,
eCommerce,Mobile based eCommerce SAAS platform,Bangalore,"Kashyap Deorah, Rajul Garg, Maninder Gulati",Seed Funding,
Technology,Financial Technology Solutions Provider,Kozhikode,Speridian Technologies,Private Equity,
Consumer Internet,Classified Listings platform,Mumbai,Brand Capital,Private Equity,"2,00,00,000"
Technology,Aadhar based Document Signing platform,Bangalore,Rainmatter,Private Equity,"3,75,000"
Technology,Full Service Ecommerce Agency,Chennai,Aspire Systems,Private Equity,
Consumer Internet,Food Delivery platform,Bangalore,"Satish Vasudeva, Madhusudhan Jujare & Others",Seed Funding,
healthcare,"Organic,\\xc2\\xa0 Natural\\xc2\\xa0 Food substitute manufacturer",Mumbai,Torrent Group,Private Equity,"3,70,00,000"
Consumer Internet,Fitness Gym & Services Discovery platform,Mumbai,"Saha Fund, Exfinity Venture Partners & Others",Private Equity,
Technology,Cyber-Security Solutions Provider,New Delhi,Vijay Kedia,Seed Funding,
Consumer Internet,Online Notes Sharing Portal,New Delhi,"Riju Gupta, Kamal Chabra",Seed Funding,"1,00,000"
Consumer Internet,Marketing app for retailers,Mumbai,Dr. Goutam Challagalla,Seed Funding,
Technology,Artificial Intelligence based marketing platform,New Delhi,"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",Seed Funding,"2,00,000"
Consumer Internet,Wedding Website Creator,New Delhi,"ah! Ventures, Anupam Mittal, Kunal Shah, Sandeep Tandon, Dheeraj Jain, Rohit Chokhani",Seed Funding,
Consumer Internet,Free Interactive education platform,Bangalore,"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal,\\xc2\\xa0 Kunal Shah, Sandeep Tandon, Ashish Tulsian",Private Equity,"10,00,000"
Technology,Clinical Imaging Solution Provider,Chandigarh,Kalaari Capital,Seed Funding,"1,00,000"
eCommerce,Home Furnishing rental marketplace,Bangalore,Kalaari Capital,Seed Funding,"5,00,000"
Technology,Mobile Apps & Tech Services provider,Gurgaon,"Vineet Taneja, Kamal Puri",Seed Funding,
eCommerce,Dreams fulfilling marketplace,Mumbai,Mohit Lalvani,Seed Funding,"5,00,000"
Education,Edutainment platform,Noida,Michael and Susan Dell Foundation,Private Equity,"9,00,000"
eCommerce,Online Furniture Store,Mumbai,Trifecta Capital,Private Equity,"30,00,000"
Consumer Internet,Scrap Collection and Recycling platform,Bangalore,"Kunal Shah, Sandeep Tandon, Tracxn Labs",Seed Funding,
Technology,Mobile App & Web Development company,Indore,Scale Ventures,Seed Funding,
Healthcare,Health and Fitness Centres,Bangalore,CureFit,Private Equity,"30,00,000"
Technology,Consumer IoT Startup,Bangalore,"Fireside Ventures, Investopad, P39 Capital, Anupam Mittal, Pranay Jivrajka, Maninder Gulati, Abhinav Sinha",Seed Funding,
Consumer Internet,Local Lifestyle Content and Discovery Platform,Mumbai,"Globevestor Angel Fund, Devendra Rane, Ravi Jain,\\xc2\\xa0 Arpan Nagdeve",Seed Funding,
Consumer Internet,Self-driven car booking platform,Bangalore,Ford Smart Mobility Llc,Private Equity,"2,40,00,000"
Consumer Internet,Photo and Video Sharing App,Gurgaon,Instalabs,Seed Funding,"5,00,000"
Consumer Internet,Digital Wallet platform,Gurgaon,Net1 UEPS Technologies Inc,Private Equity,"4,00,00,000"
Consumer Internet,"on-demand, hyper-local Cleaning services provider",Mumbai,Undisclosed Ex Mckinsey Directors and Partners,Seed Funding,"5,50,000"
Consumer Internet,Cashback Mobile app,Gurgaon,"Kunal Shah & Sandeep Tandon, Girish Mathrubootham, Anand Chandrasekaran",Seed Funding,
Consumer Internet,Lending platform for Salaried professionals,Mumbai,"Dr. Abhishek Pandey, Jaysukh Sapra",Private Equity,"30,00,000"
Consumer Internet,hyperlocal Logistics services provider,Bangalore,"Nexus Venture Partners, Blume Ventures",Private Equity,"70,00,000"
Consumer Internet,on-demand online talent marketplace,Noida,Hitouch AG,Private Equity,
Consumer Internet,Self-Publishing books platform,Chennai,Undisclosed HNI investors,Private Equity,"10,00,000"
Consumer Internet,Online portal for Home Design,Bangalore,"Bessemer Venture Partners, Jungle Ventures, Helion Ventures",Private Equity,"1,50,00,000"
Technology,Assessment & Learning Platform,Gurgaon,Rajasthan Angel Investor Network & Others,Seed Funding,"1,49,000"
Consumer Internet,Fruit & Vegetable Delivery platform,New Delhi,"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",Seed Funding,"1,04,000"
eCommerce,Mobile Wallet & ECommerce platform,Bangalore,MediaTek Inc.,Private Equity,"6,00,00,000"
Technology,Agriculture Technology Solutions,Bangalore,Sophia Investment ApS,Private Equity,"20,00,000"
Consumer Internet,Photographer Discovery & Information platform,Bangalore,Info Edge (India) Ltd,Private Equity,"30,00,000"
Technology,Hybrid Cloud technology enabled Media ERP platform,Mumbai,Ambit Pragma,Private Equity,
eCommerce,Online fashion rental platform,Mumbai,"IDG Ventures, Sequoia Capital, GREE Ventures",Private Equity,"53,00,000"
Consumer Internet,Matchmaking App for Disabled,Mumbai,"Sarbvir Singh, Raghav Bahl",Seed Funding,
Consumer Internet,Online Payment Gateway,Bangalore,MasterCard,Private Equity,
Technology,HR Software Services Startup,Hyderabad,"3one4 Capital, Tracxn Labs, Aaruha Technology Fund, Endiya Partners",Seed Funding,
Consumer Internet,Seed Investment & Innovation Platform,Mumbai,Zaffiro Ventures,Seed Funding,"5,00,000"
Consumer Internet,Video Content Discovery Platform,New Delhi,"Sequoia Capital, SD Ventures, Vistaar Investment Advisors Pvt. Ltd.",Private Equity,
Consumer Internet,Mobile Marketplace for Crowdsourced Work,Bangalore,SAIF Partners,Private Equity,"7,00,000"
Consumer Internet,Wealth Management App,Mumbai,India Quotient,Seed Funding,
Consumer Internet,Online Preventive Healthcare Platform,Bangalore,"Accel Partners, IDG Ventures, Kalaari Capital",Private Equity,"1,50,00,000"
eCommerce,Custom Furniture Online,Mumbai,Deepak Gupta,Seed Funding,"2,00,000"
Logistics,hyperlocal logistics service,Mumbai,Aramex Ventures Llc,Private Equity,"20,00,000"
Consumer Internet,Cloud Based ERP Software,US,Rajan Anandan,Seed Funding,
Finance,SME Lending platform,Mumbai,"IIFL Wealth Management Seed Venture Fund, Omidyar Network, Khosla Impact, Aspada",Private Equity,"1,60,00,000"
Consumer Internet,Video Based Doctor Consulting platform App,Gurgaon,YourNest Angel Fund\\xc2\\xa0 & Others,Private Equity,"10,00,000"
Consumer Internet,Event & Movie Ticketing platform,Mumbai,"Stripes Group, Network 18, Accel Partners, SAIF Partners",Private Equity,"8,20,00,000"
eCommerce,Online fashion rental platform,Mumbai,"Sequoia Capital, Rohit Bansal, Kunal Bahl, Sandeep Tandon, Kunal Shah, Zishaan Hayath,\\xc2\\xa0 Abhishek Jain",Seed Funding,"17,00,000"
eCommerce,Online Merchandize etailer,New Delhi,Info Edge (India) Ltd,Private Equity,"7,40,000"
Technology,Full Stack Offline & Online ERP Solution,Ahmedabad,"Gaurav Singhvi, Zaffiro Ventures",Seed Funding,"2,50,000"
Consumer Internet,"Wedding Wishlist, Gifts & Registry Creation platform",Chennai,"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",Seed Funding,"2,97,000"
Technology,Mobile Security App development & Distribution,Mumbai,"Kalaari Capital, Qualcomm Ventures, ru-Net, Zodius Technology Opportunities Fund,",Private Equity,"20,00,000"
Consumer Internet,Gamified Consumer Insights Portal,New Delhi,Indian Angel Network,Private Equity,"10,00,000"
Logistics,On-Demand Delivery Startup,Gurgaon,"AVG Group, 500 Startups",Private Equity,
Technology,Virtual Reality Content Studio,Mumbai,Rothenberg Ventures,Seed Funding,
Consumer Internet,Online Car Repair and Servicing Booking platform,Bangalore,"Alex Chua, Rahul Garg",Seed Funding,
Consumer Internet,Online Food Ordering & Delivery Platform,Mumbai,"Kalaari Capital, India Quotient",Private Equity,"19,50,000"
eCommerce,Beauty Products Marketplace,Mumbai,"JSW Ventures, Blume Ventures & IvyCap Ventures",Private Equity,"60,00,000"
Technology,Car Tracking & Safety System,Gurgaon,Brian Acton,Private Equity,"35,00,000"
eCommerce,Unboxed & refurbished electronic products marketplace,Gurgaon,"JSW Ventures, Omidyar Network, Sattva Capital, Venture Works",Private Equity,"30,00,000"
Technology,SAAS based Service Agreement Management,Gurgaon,Sequoia Capital,Private Equity,"1,22,50,000"
Consumer Internet,Education Focused Financing Platform,New Delhi,"Stanford Angels & Entrepreneurs, Harvard Angels",Seed Funding,
Consumer Internet,Digital Marketing & AdTech Platform,Bangalore,"Mumbai Angels,\\xc2\\xa0 Times Internet",Private Equity,
Consumer Internet,Online Legal Consultation platform,Chandigarh,"Ashish Mahajan, Sarvesh Sharma",Seed Funding,
Consumer Internet,Online Budget Hotel Aggregator & Booking Platform,New Delhi,"Rishi Parti, Yogesh Bansal",Seed Funding,
Consumer Internet,"Online Content Discovery, Creation & Distribution Platform",New Delhi,Rainmaker Ventures,Private Equity,"50,00,000"
Consumer Internet,Cab aggregation & Rental platform,Chennai,Ajay Piramal,Seed Funding,
Consumer Internet,Online Food Ordering & Delivery Startup,Gurgaon,"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",Seed Funding,"6,00,000"
Consumer Internet,Vernacular Language Content Creation & Sharing App,Bangalore,"SAIF Partners, India Quotient",Private Equity,"13,50,000"
Consumer Internet,E-Tailoring service provider,Bangalore,Unitus Seed Fund,Private Equity,
Consumer Internet,Online Furniture Renting Platform,Bangalore,"Accel Partners, IDG Ventures India",Private Equity,"50,00,000"
Consumer Internet,Online Furniture Renting Platform,Gurgaon,Brand Capital,Seed Funding,
Healthcare,Sports Focused Healthcare Startup,Mumbai,"Jaspal Bindra, Parth Jindal",Seed Funding,
eCommerce,Personalized precious Jewellery etailer,Coimbatore,Keiretsu Forum,Seed Funding,"4,50,000"
Technology,M-Commerce Solutions for Retail Stores,Pune,"Plug and Play Tech Center, Steelhead Ventures & Others",Private Equity,"10,70,000"
Consumer Internet,Online Education & Tutoring portals,New Delhi,500 Startups,Private Equity,
Technology,Enterprise Work Management Software,Pune,SRI Capital,Seed Funding,"10,00,000"
Consumer Internet,Online Investment Banking platform,Bangalore,undisclosed investors,Private Equity,"20,00,000"
eCommerce,Women\\xe2\\x80\\x99s Fashion etailer,New Delhi,"Sumit Jain, Sumit Jain, Anurag Gupta, Varun Khanna, Faraz Khan",Seed Funding,
eCommerce,Travel Package Marketplace,New Delhi,GEMS group,Seed Funding,"2,50,000"
eCommerce,Online Grocers,New Delhi,"Abhijit Avasthi, Karan Chellani, SP Vijay",Seed Funding,
Consumer Internet,Public Transport Mobile App,Mumbai,"Times Internet, Innoven Capital, Matrix Partners India, Qualcomm Ventures",Private Equity,"60,00,000"
Consumer Internet,Online Learning Platform,Pune,SRI Capital,Seed Funding,"6,50,000"
Consumer Internet,Online Food Ordering platform,New Delhi,SRI Capital,Seed Funding,"6,50,000"
eCommerce,Jewellery Etailer,Mumbai,"IIFL and Accel Partners, Kalaari Capital, IvyCap Ventures, RB Investments",Private Equity,"3,00,00,000"
Technology,Game Development Startup,Mumbai,Intelli Reboot Digital Pvt. Ltd,Private Equity,
Technology,Image Analysis Solutions,Pune,Satish Jamdar,Seed Funding,
Technology,Cloud-Based Enterprise Solutions,New Delhi,Star India Pvt. Ltd,Private Equity,"1,00,00,000"
Consumer Internet,\\nLoans Comparison platform\\n\\n\\n\\n     (adsbygoogle = window.adsbygoogle || []).push({});\\n\\n,Noida,Franklin Templeton International Services Pvt. Ltd,Private Equity,"1,50,00,000"
Technology,Payroll & Benefits Software solutions,Bangalore,Prime Venture Partners,Private Equity,"10,00,000"
Consumer Internet,Mobile Apps SaaS Platform,Gurgaon,Green House Ventures Accelerator,Seed Funding,"2,50,000"
Consumer Internet,Online Tax Filing Portal,Jaipur,Undisclosed Investors,Private Equity,"10,00,000"
Logistics,Tech-focused cargo transport startup,Mumbai,"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",Seed Funding,"5,95,000"
Consumer Internet,Loan Comparison & Deals platform,Pune,Nilesh Shah,Seed Funding,
Consumer Internet,Online Car rental booking platform,New Delhi,Nihon Kotsu Co,Private Equity,"10,00,000"
eCommerce,Online Marketplace for books,Bangalore,Swastika Company Pvt Ltd,Seed Funding,
Consumer Internet,Inter-City Taxi Booking platform,Bangalore,Indian Angel Network,Seed Funding,"5,95,000"
Food & Beverage,Yogurt and Ice Cream maker,Mumbai,"Verlinvest, DSG Consumer Partners",,
Consumer Internet,Free Ad based Voice Calling,Indore,Undisclosed Investors,Seed Funding,
Technology,Data Analytics Platform,Bangalore,Edelweiss Private Equity,Private Equity,
eCommerce,Online marketplace for used automobiles,New Delhi,"Beenext, Digital Garage, Lightbox, Beenos",Private Equity,
Consumer Internet,On-Demand Healthcare Service provider,New Delhi,MapmyIndia,Seed Funding,
Technology,"smart, energy efficient home appliance manufacturer",Mumbai,Parampara Capital,Private Equity,"10,00,000"
eCommerce,Fashion Re-Commerce Platform,Mumbai,Venture Catalysts,Seed Funding,
Consumer Internet,Bus Aggregator Mobile app,Mumbai,Rainmaker Ventures,Private Equity,"10,00,000"
Consumer Internet,Doctor Consultation platform,Bangalore,MadhanKumar Madathupalayam,Seed Funding,
Consumer Internet,Truck Aggregator & Booking platform,Chennai,Undisclosed Investor,Seed Funding,"75,000"
Healthcare,Treatment Development for Antibiotic-resistant diseases,New Delhi,Romulus Capital,Private Equity,"20,00,000"
Consumer Internet,Digital Media and Entertainment Startup,Hyderabad,Sreenivasa Reddy Musani,Seed Funding,"4,48,000"
Education,K-12 Maths Learning Courses,Bangalore,"Sequoia Capital, Unitus Seed Fund",Private Equity,"40,00,000"
Consumer Internet,Student Micro-Loan platform,Bangalore,"Yeahmobi, Fenqile",Private Equity,"20,00,000"
Technology,Post merger Integration Partners,Bangalore,Undisclosed Investor,Seed Funding,"1,00,000"
Technology,Mobile CRM Platform,Pune,"Microsoft Ventures, Salesforce Ventures",Private Equity,"2,30,00,000"
Technology,Credit Scoring Platform,Mumbai,Kalaari Capital,Private Equity,"10,00,000"
Consumer Internet,Online Learning Platform,Hyderabad,Sarath Sura,Seed Funding,"10,00,000"
eCommerce,Location based Classified Mobile app,Mumbai,"Kae Capital, Kunal Shah, Sandeep Tandon",Seed Funding,"5,00,000"
Technology,Tech-enabled Fashion Talent platform,Mumbai,Indian Angel Network,Seed Funding,"2,00,000"
Consumer Internet,Online Fashion Discussion Community,Gurgaon,Sanjiv Rai,Seed Funding,
Consumer Internet,Online Chef Discovery & Booking Service,Bangalore,"Kunal Shah, Aneesh Reddy, Tracxn Labs, Venkat Tadanki, Krishna Mehra, Amit Rathore",Seed Funding,
eCommerce,Connecting Small Town Consumers to E-Commerce,Bangalore,Axiata Digital,Private Equity,"1,60,00,000"
Real Estate,Co-Working Spaces,Jaipur,"Ankit Maheshwari, Anand Singh",Seed Funding,
Consumer Internet,Online medical support platform,Gurgaon,BlackJag Partners,Seed Funding,"2,00,000"
eCommerce,Online Tea Store,Siliguri,Cameron Jones,Seed Funding,
Consumer Internet,Student Acquisition Platform,Pune,"Ritesh Dwivedy, Priti Padhy",Seed Funding,
Technology,Fin-Tech Platform,Mumbai,3 undisclosed HNIs,Seed Funding,"20,00,000"
eCommerce,Online event ticketing Platform,Mumbai,Ratan Tata,Seed Funding,
Consumer Internet,Mobile based rewards platform,New Delhi,"CIO Angel Network, Indian Angel Network",Private Equity,"5,00,000"
Technology,Entry level hiring platform,Gurgaon,"Vivek Joshi, Mohit Satyanand, Amit Banati, Arun Khanna",Seed Funding,
FMCG,Household packaging & Storage product manufacturer,Mumbai,Edelweiss Private Equity,Private Equity,
Technology,Wearable Gaming Platform,Bangalore,"Ratan Tata, Bhavish Aggarwal, Ankit Bhati, Binny Bansal, Girish Mathrubootham",Seed Funding,
eCommerce,Auto Parts & Accessories eTailer,New Delhi,TVS Automobile Solutions Ltd,Private Equity,
Technology,Data Analytics based Customer Management Services,New Delhi,TVS Automobile Solutions Ltd,Private Equity,
Consumer Internet,Internet of Things Platform,Chennai,TVS Automobile Solutions Ltd,Private Equity,
Consumer Internet,Online Food Delivery for Train Travelers,Jaipur,50K Ventures,Seed Funding,
eCommerce,Online custom Shirt retailer,Mumbai,undisclosed investor,Private Equity,"10,00,000"
Consumer Internet,e-Book Publisher,,Viridian Capital,Seed Funding,"30,000"
Consumer Internet,Education based online portal,New Delhi,EVC Ventures,Seed Funding,
Food & Beverage,Premium Tea & Coffee Capsules maker,New Delhi,Valpro Capital and existing investors,Private Equity,
Logistics,B2B Logistics provider,New Delhi,MCube8,Seed Funding,
Technology,Data Driven Advertising platform,Bangalore,"You & Mr Jones, Fortisure Ventures, Diaz Nesamoney",Private Equity,"60,00,000"
Consumer Internet,Queue management Mobile app,Pune,"Saama Capital, Blume Ventures & Vaibhav Domkundwar",Seed Funding,"10,00,000"
Consumer Internet,Online Alternative health community platform,Bangalore,Accel Partners India,Private Equity,"44,00,000"
Consumer Internet,Taxi Rental Platform,Vadodara,Indian Angel Network,Seed Funding,"4,50,000"
eCommerce,On-demand product rental marketplace,Bangalore,IvyCap Ventures and Unicorn India Ventures,Private Equity,
Consumer Internet,Contact Management Mobile App,New Delhi,Info Edge (India) Ltd,Private Equity,"4,50,000"
Consumer Internet,Help Hiring Platform,Gurgaon,Info Edge (India) Ltd,Private Equity,"6,00,000"
Consumer Internet,Sports Venue discovery and booking platform,Bangalore,Atul Ingle,Seed Funding,
Consumer Internet,Web/Mobile Music Streaming service,USA,Guy Oseary,Private Equity,
eCommerce,Online Women\\xe2\\x80\\x99s Fashion Marketplace,Bangalore,Sequoia Capital,Private Equity,"2,00,00,000"
Technology,Sustainable Green Tech Solution developer,Mumbai,Nimmagadda Prasad,Seed Funding,
Consumer Internet,Online Tax Filing Platform,New Delhi,"Ravi Adusumalli, SAIF Partners",Private Equity,"1,20,00,000"
Technology,Home Automation Solutions,Bangalore,Infuse Ventures,Private Equity,"9,00,000"
Technology,Payroll & HR Software Developer,Bangalore,"New Enterprise Associates (NEA), Blume Ventures",Private Equity,"52,00,000"
eCommerce,Fashion Rental Marketplace,Bangalore,BetOnIndia Technology Pvt Ltd,Seed Funding,
Consumer Internet,Fitness centre Discovery & Booking Mobile app,Bangalore,"Sanjay Verma, Amit Khanna (LetsVenture)",Seed Funding,
eCommerce,Freight Logistics Marketplace,New Delhi,Undisclosed investor,Seed Funding,
Consumer Internet,Online Test Papers for competitive exams,New Delhi,Hamraj Kumar,Seed Funding,
Consumer Internet,Govt Policy Research & Information portal,Ahmedabad,Timbru Ventures,Seed Funding,
Consumer Internet,Online Platform for Event Sponsorship,Mumbai,Swan Angel Network,Seed Funding,"1,50,000"
Consumer Internet,Real Estate Platform,Bangalore,Idein Ventures,Seed Funding,
Consumer Internet,Online Travel Agency,Mumbai,"Concur Technologies, Gund Investment",Private Equity,
Consumer Internet,Online Procurement Marketplace,Noida,IndiaMart,Private Equity,
Technology,Fintech Product Development & Services Startup,Bangalore,Bitkemy Ventures,Seed Funding,"4,00,000"
Consumer Internet,Online Outdoors & travel,Mumbai,Unicorn Venture,Seed Funding,"2,25,000"
Technology,Medical Technology Provider,Bangalore,CP Bothra,Seed Funding,
FMCG,Beauty Products & Training to Salons & Spas,Chennai,The Chennai Angels,Seed Funding,"1,50,000"
eCommerce,Women Lingerie Store,Mumbai,"RB Investments PTE Ltd, Orios Venture Partners",Private Equity,"60,00,000"
Consumer Internet,Online invoice app for SMEs,Pune,"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi",Seed Funding,"1,50,000"
Technology,Logistics Management Software,New Delhi,Saif Partners,Private Equity,"35,00,000"
Consumer Internet,School Parent Communication App,Bangalore,"Purvi Ventures, Rajul Garg, Vipin Arora",Seed Funding,"2,10,000"
Technology,Artificial Intelligence based search platform,Gurgaon,Indian Angel Network,Seed Funding,
Consumer Internet,Home Tutors search & Discovery,New Delhi,Rise India,Private Equity,
Consumer Internet,Professional Driver discovery & Booking Mobile app,Mumbai,"Jitendra Gupta, Pankaj Tripathi",Seed Funding,"50,000"
Consumer Internet,Multi-Lingual self-publishing platform,Bangalore,Nexus Venture Partners,Seed Funding,
Technology,Cloud Data Security & Privacy Solutions,Bangalore,Kalaari Capital,Seed Funding,"5,00,000"
Logistics,Cold Storage Logistics solutions,Mumbai,GVFL,Private Equity,"60,00,000"
Others,Supply Chain Equipment & Services provider,Mumbai,Mayfield Ventures,Private Equity,"30,00,000"
Others,Free Door Step Scrap Pickup Service,New Delhi,Undisclosed investor,Seed Funding,"1,48,000"
Consumer Internet,Online counselling & Personal coaching platform,Bangalore,"SAIF Partners, Aprameya Radhakrishnan, Phanindra Sama, Subba Rao Telidevara, Vibhu Garg, Paula Ravindra Mariwala, Gaurav Bhalotia",Seed Funding,"12,00,000"
Consumer Internet,Online Spa & Salon discovery & Booking platform,Bangalore,Undisclosed investor,Seed Funding,"1,00,000"
